number,href,title,ingredients,preparation
30,https://veganuary.com/recipes/chia-pudding/,Chia Pudding,"4 tbsp Chia Seeds
1/2 cup coconut milk (depending on the thickness of the milk you use, you may need a little more or a little less)
A few drops Vanilla Extract
Cinnamon (to taste)
Pomegranate Seeds
Roasted Shaved Coconut","Preparation
Serves 2
Method
Stir Chia, vanilla and cinnamon into the Coconut Milk and place in the refrigerator for 20 mins. When ready to eat, add coconut shavings (raw or roasted) and pomegranate newbies - cut the pomegranate in half and score each segment. Pop the individual pomegranate seeds out with your fingers and sprinkle over your pudding."
190,https://veganuary.com/recipes/maple-cinnamon-granola/,Maple Cinnamon Granola,"3 cups of rolled oats
2 cups mixed nuts and seeds (I used hazelnuts, almonds, walnuts, pumpkin seeds and sunflower seeds)
2 Tbsp coconut oil, melted
3 Tbsp maple syrup
1 tsp vanilla extract
1 tsp cinnamon
Pinch salt","Method
Preheat oven to 150C/300F/Gas Mark 2.
In a large bowl mix together the oats and nuts/seeds. In a small bowl mix together the melted oil, syrup, vanilla, cinnamon and salt. Pour the wet ingredients over the dry ingredients and mix well.
Line a large baking sheet/tray with parchment paper and spread the granola out onto the tray. Bake for about 35 - 40 mins until golden, stirring every 10 - 15 mins. Leave to cool before storing in a container or serving with your choice of milk or yogurt and fresh fruit."
280,https://veganuary.com/recipes/almond-butter-berry-jelly-shake-by-plenish/,ALMOND BUTTER AND BERRY JELLY SHAKE,"1 handful of frozen blueberries
2 tsp almond butter
1 tsp peanut butter
125ml Plenish Cashew M*lk
125ml Plenish Almond M*lk
0.5 frozen banana","Preparation
Serves 1
Blend all ingredients together until smooth"
350,https://veganuary.com/recipes/overnight-mango-and-chia-seed-pudding/,Overnight Mango and Chia Seed Pudding,"2 tbsp chia seeds
5 -6 tbsp yoghurt (dairy free)
3 tbsp plant milk
1/2 tsp vanilla extract
1 very ripe mango
a few almonds/pistachios
a small handful raspberries
a pinch of cardamom powder (optional)","Preparation
Serves 1
Method
Whisk together the chia seeds, yoghurt, milk and vanilla until the chia seeds are distributed throughout the mixture. Cover and leave in the fridge overnight or at least 30 mins.
Add the raspberries and half the mango flesh to a blender or food processor and blend until smooth. Add a pinch of cardamom if desired.
Divide the chia mixture between 2 glasses or jars. Top with a layer of the raspberry mango puree.
Top with the remaining mango chopped into small chunks and some roughly chopped almonds/pistachios.
Try and leave it in the fridge overnight so it really thickens up. What an easy and delicious dessert you'll be eating tomorrow!"
470,https://veganuary.com/recipes/carrot-cake-porridge/,Carrot Cake Porridge,"2 carrots (approx 150g)
80g raisins
800ml Alpro Almond No Sugars drink
1 tsp cinnamon
1 tsp vanilla essence
200g rolled oats
To serve: Handful of chopped nuts e.g. walnuts","Preparation
Peel and finely grate the carrots.
Pour the Alpro Almond No Sugars drink into a saucepan, add the carrot, raisins, cinnamon and vanilla essence.
Simmer gently on a low heat for 5-10 minutes until the carrots are tender, giving it a stir every now and then.
Stir in the rolled oats and carry on cooking until the mixture has thickened up nicely - usually around 5 minutes.
Serve with chopped nuts."
570,https://veganuary.com/recipes/banana-breakfast-muffins/,Banana Breakfast Muffins,"5.2 oz (150g, 80ml) melted coconut oil (can also use vegetable/sunflower or other mild oils)
1tsp vanilla extract
1 1/4 cup (5.7oz, 150g) wholewheat flour
3/4 cup (3.5 oz, 100g) self-raising flour
1tsp baking powder
? cup (3.5oz, 100g) granulated sugar
1/2 cup (100ml) of your preferred plant-based milk
2 flax ""eggs"" (2tbsp ground flaxseed + 6tbsp water)
4 medium banana's, mashed
1/4 cup of your favourite nuts, chopped (I used walnuts)","Preparation
Pre-heat the oven to 350f / 185c / Gas Mark 5
Method
Mix up the two flax ""eggs"" by adding the ground flax to the water and set to one side.
Combine the wholewheat flour, self-raising flour, baking powder and granulated sugar in a bowl.
Mash the bananas and to this add your plant-based milk, flax ""eggs"", melted coconut oil and vanilla extract. Whisk until well combined and then add to the dry ingredients.
Fold in the chopped nuts and any other add-ins you desire and mix only so much to say combined. Don't over-mix as you will get tough/rubbery muffins.
Divide equally between 12 muffin cases and bake on the middle shelf for 20 minutes (or until a toothpick inserted into the centre comes out clean).
I topped mine with a little coconut sugar before baking to make a little sweet crust but this is entirely optional!"
620,https://veganuary.com/recipes/breakfast-granola/,Granola,"3 cups rolled oats
1 cup roasted pecans
1/3 cup sunflower seeds
1/3 cup pumpkin seeds
1/3 cup raisins
3 tablespoons cocoa powder
4 tablespoons coconut oil, melted
3 tablespoons maple syrup
1 pinch of sea salt
1/2 teaspoon cinnamon","Method
In a bowl combine the oats, pecans, cocoa, sunflower seeds, pumpkin seeds and raisins.
Mix the coconut oil, maple syrup, cinnamon and sea salt.
Pour the coconut oil mixture over the oat mixture and stir to combine. Add the mixture to a baking sheet lined with parchment paper.
Bake in the oven to 180C/350F. Add the mixture to the baking sheet in the oven until it is golden brown and crispy.
Enjoy with almond yogurt and some fresh berries for an indulgent breakfast!"
680,https://veganuary.com/recipes/garlic-gram-pancakes/,Garlic Gram Pancakes,"1 cup or 92 g gram flour (AKA chickpea flour)
1/2 teaspoon garlic powder
1/2 teaspoon Himalayan salt
1 cup + 3 tablespoons water
1/2 teaspoon lemon juice
1/2 teaspoon baking powder
1 teaspoon + 1/2 teaspoon nutritional yeast (divided)
1/4 cup / 15 g diced onion
1.2 oz / 20 g diced red/yellow capsicum / bell pepper
1.6 oz / 45 g diced mushrooms
1/8 cup / 10 g fresh spinach
2 tablespoons oil","Method
In a bowl whisk together the gram flour, garlic powder, salt and water. Add the lemon juice and then set aside for 10 -15 minutes. If you don't have time to rest the batter, it will still work but the pancakes won't turn out quite as fluffy. The batter will become a bit thicker after it has rested. In the meantime, chop the onion, mushrooms, capsicum / bell pepper and spinach.
Whisk the baking powder and 1 teaspoon of nutritional yeast into the batter. Heat a pan over medium to high heat. Ensure the pan is thoroughly hot before adding the oil. I use 1 teaspoon of oil per batch and spread it out with a silicone brush. Gently saute the onion, mushroom and capsicum / bell pepper until the vegetables are just cooked through. If your pan isn't thoroughly hot, the vegetables will release a lot of water. Add the spinach and saute until it has wilted.
Turn the heat down as low as you can. Make sure the vegetables are spread out over the pan and then spoon the batter in over the vegetables. I like to press the batter out gently with a spoon as I pour it in to make a 4.5 - 5 inch pancake.
The key is to only cook the pancake over low heat and not to rush it, otherwise it will taste raw in the centre. My ideal temperatures are 120 - 212 degrees Fahrenheit / 50 -100 degrees Celsius. Cook the pancake for 4 minutes and then carefully flip over. Drizzle a little more oil around the pancake if needed. Sprinkle 1/2 teaspoon of nutritional yeast over the top of the pancake.
Use a spatula to gently press down on the pancake and then cook for another 3 - 4 minutes. If the pancake still feels very soft in the centre, flip and cook again for another minute or two. If your pancake is difficult to flip in one go, just use your spatula to hold the pancake together and reshape it as best as you can. It doesn't affect the taste. Top with a little salsa or your favourite vegan sauce and serve!"
800,https://veganuary.com/recipes/overnight-oats/,Overnight Oats,"4tbsp Natural Oat Yogurt (or your choice of yogurt)
4tbsp porridge oats
1tbsp chia seeds
2tbsp grated apple
4tbsp coconut milk
4 fresh raspberries
5 blueberries","Method
Mix all ingredients together in a pot or jar and leave in the fridge overnight (with lid on). Eat cold the next day."
880,https://simple-veganista.com/vegan-blueberry-banana-oat-bread/,VEGAN BLUEBERRY BANANA OAT BREAD,"1 1/4 cups (120g) old fashioned oats
1 1/2 cups (180g) spelt flour, all-purpose or light whole wheat flour
1/2 cup (56g) walnuts, chopped
1/3 cup (75g) sugar (pure cane or coconut)
2 teaspoons baking powder
1/2 teaspoon cinnamon
generous pinch of salt
2 - 3 ripe bananas, mashed (about 1 cup)
1/2 cup (118ml) unsweetened almond milk or vanilla almond milk
1/4 cup (56ml) olive oil, warmed coconut oil, or vegan butter/margarine
1 cup (125g) blueberries, fresh or frozen","Instructions Preheat oven to 350 degrees F. Grease a 9 x 5 loaf pan lightly with oil.
Mix dry ingredients: In a medium to large mixing bowl, combine the oats, flour, walnuts, sugar, baking powder, cinnamon and salt, mix well.
Mix wet ingredients: In a small bowl, combine the mashed bananas, almond milk, and oil, mix well.
Combine and rest: Add the wet mixture to the dry ingredients, mix just until combined, fold in the blueberries. Let the batter rest for 5 minutes.
Bake: Pour batter into loaf pan. Bake on the middle rack for 40 - 45 minutes. If the top browns too quickly, cover with foil or parchment paper around the 30 minute mark. Ovens vary, mine usually takes 50 minutes. You can also do the toothpick test in the centre of the loaf, if it comes out clean it should be ready. Remove from oven and let cool for 10 min before slicing.
Store: Keep covered on the counter for up to 3 days or in the refrigerator up to 1 week. Keep in the freezer for up to 2 months. Thaw the wrapped loaves overnight in the refrigerator. Reheat in the microwave or a toaster oven with a door."
