number,href,title,ingredients,preparation
150,https://veganuary.com/recipes/pigless-rolls/,Pigless Rolls,"Ready rolled or a block of puff pastry or homemade puff pastry if you are up to it!
One box of Granose (or other) dried sausage mix","Method
Roll out or take out the pastry and slice into sections. Cut into long strips of around 10cm in width.
Make up the sausage mix as per the packet and place spoonfuls on the mix in a line, just off centre, on each strip of pastry. Don't over fill, as you'll have trouble closing up the pastry.
Fold the pastry over the top of the sausage mix, pressing shut the two edges with a fork. You can prick the pastry in top for some decoration too if you fancy.
Cut into around 8cm individual bites. It doesn't have to be precise but just make sure they aren't too small as you'll end up with sausage bullets!
Cook on a baking tray for around 25 mins, or until golden brown. Make sure you give each one a little room as they don't cook through and rise properly if they are squashed together.
They are most delicious eaten warm."
210,https://veganuary.com/recipes/beetroot-and-pistachio-salad/,Beetroot and Pistachio Salad,"1 cooked beetroot
4 cherry tomatoes
? yellow pepper
Handful of pistachios
Mixed salad leaves
Juice of half a lemon
Drizzle of sesame oil","Preparation
 Serves 1
Method
Slice beetroot and pepper, toss with tomatoes and salad leaves.
Squeeze over half a lemon and a good drizzle of sesame oil and sprinkle with pistachios."
430,https://veganuary.com/recipes/stuffed-cucumber-kimchi/,Stuffed Cucumber Kimchi,"1 large cucumber
10 Radishes
1 large (Asian) pear, or two small pears
Purified Water
3 Tbsp Naturally Brewed Soy Sauce
1 Cup Salt
3 Tbsp green plum extract","Method
Wash the cucumbers with salt to cleanse thoroughly. Soak the prepared cucumbers in boiling salted water.
Meanwhile, finely shred ? of the pear(s) and the radishes. Add 1 Tbsp soy sauce and 1 Tbsp plum extract to the prepared pear and radishes, and mix well with your hands.
Grate the remainder of the pears and sieve or strain to collect juice. Add the purified water, 2 Tbsp soy sauce, 2 Tbsp plum extract and a pinch of salt to the juice.
Cut the cucumber into 3cm cylindrical pieces and make cross-cuts on the circular face of each piece. Stuff the cucumbers with the radish and pear mixture and transfer to a plate. To finish, pour the pear juice mixture over the cucumber pieces."
460,https://veganuary.com/recipes/vegan-caesar-salad-dressing/,Caesar Salad Dressing,"1 tbsp olive oil
120 ml almond milk (or plant milk of your choice)
70g cashew nuts
1 tbsp dijon mustard
1 minced garlic clove
1 tbsp capers
Dash of soya sauce
Juice of 1 squeezed lemon","Preparation
Special thanks to Victoria Harley for the image: split-pin.co.uk
Method
Add all the ingredients to a blender and process until smooth
Keep the remaining dressing in an airtight container. Best eaten within one week."
690,https://veganuary.com/recipes/rustic-sundried-tomato-bread/,Rustic Sundried Tomato Bread,"130g gluten-free plain flour, plus extra for handling
100g gram flour
1 tbsp baking powder
5 sundried tomatoes, plus 2 tbsp of their oil
150ml almond milk - or your favourite dairy-free milk
1 tsp cider vinegar - or 1 tbsp lemon juice","Preparation
Makes 1 loaf Method
Preheat the oven to 220c.
Place all of the dried ingredients into a large mixing bowl and stir together. Next add the sundried tomatoes and toss together in the flours so that the pieces become coated - this will allow them to become evenly distributed.
Pour over the almond milk, oil and cider vinegar (or lemon juice) and then mix together until you have a large, tacky ball of dough. Coat your hands in extra flour and carefully lift the loose dough and place on to a large baking tray, shaping it into a round loaf approximately 6 inches in diameter.
Score the top of the loaf into 8 segments (you can be quite light with the knife as the dough is so soft). Bake the bread in the oven for 15-18 minutes or until golden and crusty. Remove from the oven, leave to cool for 10 minutes and then cut into segments and enjoy."
740,https://veganuary.com/recipes/korean-temple-kimchi/,Vegan Korean Temple Kimchi,"2 cabbages
3 cups Red Chilli Powder (Gochugaru)
? cup Naturally Brewed Soy Sauce
2 cups Glutinous Rice Porridge
Korean Raspberry Extract ? cup
20g Green Sea Fingers (Cheonggak)
? cups Cooked Soybean (boiled and mashed into a paste)
Salt","Method
Remove the base of the green sea fingers and finely chop them until they form a soft paste.
Mix in a large bowl the glutinous rice porridge, red chili powder, prepared green sea fingers, prepared soybean, soy sauce and Korean raspberry extract. Season the mixture using salt (about 1 Tbsp). Leave the paste to rest for about 2 hours.
Mix three handfuls of salt into a large bowl of water and soak the cabbage.
Cut the cabbages vertically in half and make small cuts in the roots. Mix three handfuls of salt into a large bowl of water and soak the cabbage for a minute or so.
Spread a generous amount of salt in between the leaves (coarse sea salt works best); add even more to the stems. Leave for as long as possible to rest - from 3 to 12 hours.
Remove any excess brine from the cabbages and spread the prepared seasoning paste between the leaves.
Cover the cabbages using the outermost leaves and store them in containers to ferment."
780,https://veganuary.com/recipes/cheese-and-crackers/,Vegan Cheese and Crackers,"Crackers of your choice (I selected Ryvita Pumpkin Seeds & Oats for this pic)
Vegan cheese (I used Violife Mozzarella)
Optional:
Branston Pickle
Tomatoes
Cucumber
Celery","Preparation
Special thanks to Victoria Harley for the image: split-pin.co.uk
Method
Slice cheese
Arrange cheese and crackers on a plate/board
Add accompaniments
Serve"
810,https://veganuary.com/recipes/roasted-red-pepper-hummus/,Roasted Red Pepper Hummus,"2 large sweet red bell peppers
2 large cloves of garlic
2 heaped tablespoons of tahini
1 tin (240g/8?oz drained or 1? cups) tinned chickpeas
2 lemons
3 tablespoons extra virgin olive oil
? teaspoon sea salt","Method
De-seed, de-stalk and slice your peppers in half or quarters.
Next: roast the sweet pepper and garlic in a hot oven... To do this, keep the garlic in its skin and place on an oven tray along with the pepper and place in a pre-heated oven (gas mark 7/425C/220F should work fine). Roast garlic for up to 10 minutes and the pepper for about 15-20 minutes (or until the pepper is easy to pierce). No need to let the pepper char. Note: I find it easier to roast this ahead of time - get on with something else - and then set them out to cool for a little while before adding to the rest of the ingredients.
It's best to wait until the garlic cools down a little before you pop it out of it's skin. Gently chop off the top; then squeeze out the fleshy garlic and place in a jug ready to blend with everything else.
Rinse and drain chickpeas.
Juice lemon and discard the skin.
Add all ingredients to a jug and blend until you reached your desired consistency.
Chill in the fridge before serving.
This serves well with: salad in a sandwich on crackers as a veggie dip with baked potatoes or  coconut-sweet-potatoes It's pretty versatile and should keep in the fridge for over a week. I like to make a batch of pates and dips to enjoy throughout the week. Gotta make plenty in my house though as they vanish pretty quickly!"
820,https://veganuary.com/recipes/broad-bean-hummus/,Broad Bean Hummus,"160g broad beans
Juice 1/2 small lemon
10-12 mint leaves
4 tablespoons extra virgin olive oil, plus extra
Zest of small lemon
Salt, to taste","Method
Steam the beans for 3-5 minutes, until tender. Rinse under cold water.
Place beans in a liquidizer or similar - chop them finely to hummus consistency. Add salt, lemon juice and finely chopped mint, blend until smooth adding olive oil gradually until you achieve the consistency you want.
Add more olive oil if needed, once smooth, add zest and seasoning. Add more olive oil on top.
Serve with crusty bread, carrots and celery."
840,https://veganuary.com/recipes/butternut-squash-and-tomato-muffins/,Butternut Squash and Tomato Muffins,"350g butternut squash
peeled weight
100g sundried tomatoes
250ml rice milk mixed with 1tbsp lemon juice
60ml olive oil + 1 tbsp for roasting
1 tbsp baking powder
? tsp bicarbonate of soda
300g gluten free plain flour
4 tbsp ground flaxseed mixed with 6 tbsp water","Method
Preheat the oven to 200c.  Peel the butternut squash and scoop out any seeds or pith that may be there.  Cut into 1cm cubes and place in a roasting tray with 1 tbsp of olive oil.  Season well with sea salt and black pepper and roast in the oven for 40 minutes until golden and tender.
Roughly chop the sundried tomatoes and set aside. Place the ground flaxseed and water in a small bowl and stir together until combined.  Place the soured milk, flax mixture and olive oil into a large mixing bowl and gently whisk together.  Sift in the flour, baking powder and bicarbonate of soda, roast squash, sundried tomatoes and season well.  Fold the mixture together using a metal spoon until evenly combined.
Fill the muffin cases two thirds full with the mixture.  Bake in the oven for 45-50 minutes until slightly risen and golden."
